评论内容,观点词
"物美价不贵,就是快递有点慢,不过总体很好满意",满意
"再生纸印刷,很轻,便于携带,自己看够了~内容就不说啦~肯定OK,看过电视再买的书~","很轻,便于携带"
"本来准备送人的,结果书本有坏边。青少年估计喜欢看",一般
"一直很喜欢岳麓的书,经典和廉价。",经典
"东西很好,也很便宜,但是有点,发票上的字打错了。",比较满意
"面料柔软,没有色差,喜欢这个配色,秒杀很划算",喜欢
很详细的解析~~之前新东方老师推荐的用了还不错~,很详细的解析~~之前新东方老师推荐的用了还不错~
"书质量还行,就是比同学买的贵了些!",有点贵
"这个是必须看的四本书之一,如果你要深入学习思科的话",好书
正版书  色彩鲜艳  孩子喜欢,好书
"纸张非常得我心啊,和轻小说的纸张差不多了 不过由于是随笔集 不大喜欢看此类文章 所以对内容不发表评论啦",纸张
"说16个G,只有14.3个G,少的也太多了吧",满意程度一般
"比预计的还小一些。这段时间简单用了一下,挺好的,没有什么问题。声音也不是很大。希望质量好吧,能接着用很久。WD的东西还是不错的。",用着不错
萝铃的魔力都买齐了。,很受欢迎
"质量挺好的。蓝色的线,间隔和一般大抄本差不多。",质量挺好的
"一套都买齐了,觉得整体还不错,但我还是觉得最后一本不如前面写得好",终于看到了结局
素食主义的宣传者,不好
物超所值!确实感觉还是比较好的!,喜欢的
喷漆比照片上的看着好多了。,喷漆很精细
"书店右上和右下角有明显挤压、褶皱的痕迹。 别人代收的,要是我就不收了。",有伤
"东西很好,挺不错的。",不错
"买了几个手工小册子,感觉都还可以吧。不是太详细,但是还可以参考。",还行
家庭治疗必读教材。,实用
"纸的质量挺好。 内容上原版还是不错的,但是这本中文的就一般了。 翻译水平不高,当然原版书用语就挺简单,所以这本的翻译水准也不妨碍理解;另外偶尔有错别字出现。",还行
"在这么多短篇的鬼故事中,这部最出色 热切等待第四部,作者加油哦~~~",超级喜欢
"内页还有点破损,当然,应该是个别现象。 文笔亲切、平易、晓畅,读来不费力。图文并茂。","书是好书,就是有点贵。"
"现在每天给宝宝读,宝宝都会接最后一个字","宝宝很喜欢,天天看"
"比较规范的国际经济学教材,适合中国学生学习",不错的教材
"遥控的电池有没有单买的?小盆友不关电,电用光了,现在没有电池。。。",不错
"好用,洗得很干净,磨砂很喜欢",很好用
"书收到啦,不错不错,才两天而已,哈,大概是因为上海到南京近吧^^ 书整体质量什么都还好,就是...是不是还是有点小贵阿,挺薄的一本小书...... 恩,还好了",挺薄
"小说整体跌宕起伏,很好看,我都沉迷在这小说里了,时光和春晓经过了跌跌荡荡的经历,但最后的结局或许是另一种幸福吧",好
"心灵鸡汤很值得读者品味,人生觉悟也可以由此感悟,让人受益匪浅的书哦,值得一看!",经典之作!
"还可以,主要是现在在和BIM合作,所以想更多的了解下。主要讲的是给各个公司合作创造利润的案例呢",智慧的转型
"平装的,平时读很方便.封面很喜欢,字也挺大的.16.3元,还是正版的,超值.",很棒
"昔日曾见过原版书,宣纸印刷,四十册,板框较大,相当精美。今日想买原版书,已无可能,这个版本也只好将就。要是能够将原版书照排印刷,就理想了。只能说比较遗憾了!","买不起原版书,这个版本也只好将就。"
不是经常用。感觉还可以吧,还行。
"这是我看得第一本职场小说,我个人认为文字不怎么样,比如歇后语的使用虽然正确但是不是那么顺畅,但是内容很好,作者详细的描述了职场生活中的点点滴滴,并且没有描写太多黑暗的东西我很喜欢",我很喜欢这本书
生动的一本科学书 感觉像杂志,ok
"有需要就买,从事相关行业,解析清楚",有需要了解
我买来时为了出国用 我觉得还不错 值得购买,很实用
"这本书是看介绍买的,感觉内容单薄,有很多是从别的书里摘录的,原创较少,对不起这个价格",一般般
"印刷实在不敢恭维,字体大小不一,标点也不规范,看得难过死。",评论仅针对出版社
"孩子都很喜欢看这类书,质量不错,",OK
出厂日期很近 正品 和眼镜店里买的没有多大差别,好东西
"宝宝很喜欢,经常拿来翻,比在书店买实惠很多","宝宝很喜欢,经常拿来翻,比在书店买实惠很多"
"用了好久才评价。wp8的手机第一次用,整体感觉不错,很流畅。发热有点严重。非常幸运没有遇到漏光!继续支持诺基亚!","流畅,有些功能待加强!"
"已装机使用二上月了,目前没有发现异常。",质量很好
"该书列举了一些行为举止的细节,可以借鉴一下,可以让自己表现得更完美无瑕!",做个成功女人需要多注重细节
茅盾文学奖的含金量似乎是没有以前高了 这本书不错 可是比起以前的获奖作品 单薄不少~ 质量倒是不错 也不贵 值得买~,还行吧~
"以前用的耳机都是只能响的便宜地摊货,这次偶然买了这款耳机,让我瞬间觉得以前用的耳机就是个渣。。。这款听人声,电音比较好,尤其是电音。低音不错,虽然不能跟其他高端品牌比,但是在百元机里,算是很不错的入门级耳机了,做工也很好,外观很有质感。很喜欢~~好了,终于掉进了烧钱的耳机坑里了。。。。",很惊艳的入门级耳机
"排版什么的都很好,就是是言情,看不下去。里面说的是很错综复杂的事,有一点阴暗吧,",蛮多的
"比较适合小孩入门的书籍,拿到手后自己也可以作为初学的一本入门书,比较想起,配合光盘视频学习可能会好些!",适合小孩刚入门
"我只看到词汇部分,分的几块很好,但单词下面应该给些例句以帮助理解记忆。总的来说还可以,仔细看完的话收获不小的,各个部分都涉及了,但可能不深入,所以还要根据自己的情况买相关的资料巩固",内容比较全面
"跟专柜没法比,现在傻子才去专柜",便宜
娃喜欢 可以按自己的想象去涂,不错
"课后习题是部分选解,很多都没有,不是很有用","课后习题是部分选解,很多都没有"
总体还算满意。799买到这样的质量已经满意了。,"手机还不错,就是质感不行。但性价比还不错的。"
"哈,老妈说这本很好,还让我自己也买本",挺好
"这次送来的商品以之前购买的同一型号商品完全不同,首先是外包装,不是彩色的;其次电饭锅内保山轻薄,水位线不平,尽然是斜的,这怎么煮饭 ;再次电源线本应该是白色,这个却是黑色电源线,与锅体完全不匹配;再次电源位置与方向不对,在置勺架的下方,极不方便与美观;再次饭勺与汤勺明显对比原来的小了;再次蒸汽板也不对……综上所述,怀疑此电饭煲不是正品,商家是不是利用特价之机销售次品或山寨产品,还收了这么贵的邮递费,一般物流就10元,你们却收了25元,这是什么道理,强烈要求退货并退回全款和邮递费。","特价商品销售山寨货品,请商家给说法"
十分不可靠。刚到第一天机身发现有瑕疵。并且拍照给他们看了。他们也很抱歉。看在服务态度好不想折腾。到后来。发现屏幕是漏光的。屏幕重合后一边高一边低。笑话的是。想换还要我自己寄去杭州检测。根本就不可靠。,售后服务很差很差。
"总体上来说,莫言的书看了很多,这本书一直没有看,原因是这个名字有点让人紧张,书写的不错,但是不是我喜欢的风格,虽然我很喜欢他写的军人魔幻题材的“战友重逢”,总之,莫言的书值得推荐啦,我喜欢的作家之一。",还行!
"书还没读过,但是看着封面就喜欢了,而且也蛮喜欢莫言的莫言",还行
"很精致的一本自我保健教科方面的书籍。印刷字体不大、230多页,内容很丰富、详实。我很喜欢,也在认真地拜读。建议40岁以上的女性更应该持有一本.",值得持有、值得一读。特别是40岁以上的女性。
"《病隙碎笔》我有过两个版本的,但我更喜欢这个版本的,且价廉物美。本来要买来送人的,结果自己留下,把另一版本送人。送人那个版本还更贵呢。",这本书很好
"还没看完,感觉还好吧。对于没怎么看过面试的人来说,可以看看。",挺实用
"完全可以看电影,我为了20封顶卡才买的。",很实用性价比高
"比较油腻,还是喜欢欧莱雅8重功效。",个人感觉真的不如欧莱雅8重功效
这本书简直太一般了。作者对中国古代对数与计算的认识实在浅薄到不知怎么形容。,太一般了
"装上以后一直有问题,随机性的无法开机、死机、蓝屏,经多次插拔测试,就是这条内存的问题。",内存有问题
"商品今天收到了,快递很给力,周末下午下的订单,周三上午就收到了!包装也很给力!书还没开始看,但书的质量不错,虽然很厚但拿到手里很轻,印刷的质量也不错,很喜欢!谢谢!",质量还是不错的!
"中式风格,很养生",中式风格
"非常喜欢这个出版社的书,字体清晰,纸质优良,最重要是价格便宜。我以后还会继续买的。支持支持!",我已经买了两本
"懒得测了,还行。希望别无端挂了",还没测
适合青少年孩子的父母睡觉前看看...,好
"纸质粗糙,翻译的内容一点也不好看。 还是上次买的散文诗选好一点。绿色封面那个。",这本书买得失望
"买来放微波炉~会晃~即使锁住下面的轮子,还是会晃~ 其它还好~",会晃~
"很喜欢红色的封面,书本排版什么的还可以,唯一缺陷可能是纸张薄了点,其他的很满意。",还不错
"这款蓝牙鼠标,再加上罗技蓝牙键盘K810,与Surface Pro 2“完美”结合……其实不是很完美,Surface蓝牙与WIFI之间干涉,同时打开,不仅WIFI网速受到影响,蓝牙鼠标也变得飘忽。(WIFI限速500KB/s时,蓝牙设备使用不受影响)",搭配Surface Pro 2
这个书不学术 里面内容生动易理解 比较有读下去的欲望 翻译得也还不错 推荐想了解博弈论的读者阅读 先有了兴趣再深入研究比较好。,推荐希望了解博弈论的读者
"先前同事在用,试了下效果好好。于给父母买了一个,让他们在看电视的时候带着按摩。",喜欢
"这个下水器里面的杂物篮拿不出来,设计大众化,物有所值吧。",里面的杂物篮拿不出来
我想说的是明明订的是这一本的  为什么货发过来居然是蓝色封面的  而且那个封面很脆弱  很容易烂  拜托下次不要这样好不好,货不对板
